"SECONDS";"PID";"VALUE";"UNITS"
"23.2295967";"Barometric pressure";"101";"kPa"
"28.5591286";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"28.5647647";"Average fuel consumption";"0";"l/100km"
"28.5656053";"Instant engine power (based on fuel consumption)";"0";"hp"
"28.5659898";"Calculated instant fuel consumption km/l.";"0";"km/l."
"28.5665612";"Distance travelled (total)";"232.319742134139";"km"
"28.5678621";"Fuel used (total)";"232.319742134139";"l"
"28.5687524";"Fuel used price";"232.319742134139";"€"
"28.5945165";"Average fuel consumption (total)";"100";"l/100km"
"28.5945165";"Average fuel consumption (total)";"100";"l/100km"
"28.5951965";"Fuel used price (total)";"239.785031085135";"€"
"28.5951965";"Fuel used price (total)";"239.785031085135";"€"
"28.6491388";"Distance to empty";"46";"km"
"28.6491388";"Distance to empty";"46";"km"
"5137.7491177";"Average fuel consumption";"0";"l/100km"
"5137.7496612";"Instant engine power (based on fuel consumption)";"0";"hp"
"5137.7498598";"Calculated instant fuel consumption km/l.";"0";"km/l."
"5137.7501626";"Distance travelled (total)";"232.319742134139";"km"
"5137.7503784";"Fuel used (total)";"232.319742134139";"l"
"5137.750852";"Fuel used price";"232.319742134139";"€"
"5137.7725334";"OBD Module Voltage";"205.38";"V"
"5137.7991275";"Calculated engine load value";"80";"%"
"5137.7995118";"Engine coolant temperature";"164";"℃"
"5137.799741";"Short term fuel % trim - Bank 1";"59.375";"%"
"5137.8003207";"Long term fuel % trim - Bank 1";"59.375";"%"
"5137.8003994";"Short term fuel % trim - Bank 2";"59.375";"%"
"5137.8004771";"Long term fuel % trim - Bank 2";"59.375";"%"
"5137.8005575";"Fuel pressure";"612";"kPa"
"5137.8008506";"Intake manifold absolute pressure";"204";"kPa"
"5137.8011958";"Engine RPM";"13057";"rpm"
"5137.8015667";"Vehicle speed";"204";"km/h"
"5137.8063276";"Timing advance";"38";"°"
"5137.8067794";"Intake air temperature";"164";"℃"
"5137.8068707";"MAF air flow rate";"522.28";"g/sec"
"5137.807562";"Throttle position";"80";"%"
"5137.8097206";"Oxygen sensor 1 Bank 1 Voltage";"1.02";"V"
"5137.8101353";"Oxygen sensor 1 Bank 1 Short term fuel trim";"-96.875";"%"
"5137.8109815";"Oxygen sensor 2 Bank 1 Voltage";"1.02";"V"
"5137.8110924";"Oxygen sensor 2 Bank 1 Short term fuel trim";"-96.875";"%"
"5137.8111782";"Oxygen sensor 3 Bank 1 Voltage";"1.02";"V"
"5137.8112852";"Oxygen sensor 3 Bank 1 Short term fuel trim";"-96.875";"%"
"5137.8113663";"Oxygen sensor 4 Bank 1 Voltage";"1.02";"V"
"5137.8114465";"Oxygen sensor 4 Bank 1 Short term fuel trim";"-96.875";"%"
